time_ms,set,target_mps,kp,ki,trim_us,enable,vx_mps,vy_mps,vz_rad_s,battery_v,frame_hex
2785,p18_i0_t12,-2.500,18.0,0.0,12,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2836,p18_i0_t12,-2.500,18.0,0.0,12,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2867,p18_i0_t12,-2.500,18.0,0.0,12,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2919,p18_i0_t12,-2.500,18.0,0.0,12,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2969,p18_i0_t12,-2.500,18.0,0.0,12,1,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
3023,p18_i0_t12,-2.500,18.0,0.0,12,1,-0.003,0.000,0.000,12.064,7B 01 FF FD 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 77 7D
3066,p18_i0_t12,-2.500,18.0,0.0,12,1,-1.250,0.000,0.000,12.064,7B 01 FB 1E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 90 7D
3134,p18_i0_t12,-2.500,18.0,0.0,12,1,-1.713,0.000,0.000,12.055,7B 01 F9 4F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 F4 7D
3165,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.049,0.000,0.000,12.064,7B 01 F7 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 7D 7D
3225,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.042,0.000,0.000,12.064,7B 01 F8 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 8B 7D
3268,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.231,0.000,0.000,12.064,7B 01 F7 49 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 CB 7D
3318,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.231,0.000,0.000,12.064,7B 01 F7 49 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 CB 7D
3368,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.428,0.000,0.000,12.064,7B 01 F6 84 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 07 7D
3417,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.431,0.000,0.000,12.064,7B 01 F6 81 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 02 7D
3470,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.416,0.000,0.000,12.064,7B 01 F6 90 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 13 7D
3519,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.328,0.000,0.000,12.064,7B 01 F6 E8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 6B 7D
3567,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.445,0.000,0.000,12.064,7B 01 F6 73 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F0 7D
3618,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.403,0.000,0.000,12.064,7B 01 F6 9D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 1E 7D
3668,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.456,0.000,0.000,12.064,7B 01 F6 68 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 EB 7D
3716,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.355,0.000,0.000,12.064,7B 01 F6 CD 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 4E 7D
3776,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.465,0.000,0.000,12.064,7B 01 F6 5F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 DC 7D
3818,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.381,0.000,0.000,12.064,7B 01 F6 B3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 30 7D
3875,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.512,0.000,0.000,12.064,7B 01 F6 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 B3 7D
3919,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.425,0.000,0.000,12.064,7B 01 F6 87 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 04 7D
3977,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.462,0.000,0.000,12.064,7B 01 F6 62 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 E1 7D
4018,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.362,0.000,0.000,12.064,7B 01 F6 C6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 45 7D
4068,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.466,0.000,0.000,12.064,7B 01 F6 5E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 DD 7D
4120,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.388,0.000,0.000,12.064,7B 01 F6 AC 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 2F 7D
4169,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.519,0.000,0.000,12.064,7B 01 F6 29 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 AA 7D
4220,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.426,0.000,0.000,12.064,7B 01 F6 86 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 05 7D
4268,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.474,0.000,0.000,12.064,7B 01 F6 56 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 D5 7D
4337,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.372,0.000,0.000,12.064,7B 01 F6 BC 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 3F 7D
4368,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.477,0.000,0.000,12.064,7B 01 F6 53 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 D0 7D
4419,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.388,0.000,0.000,12.064,7B 01 F6 AC 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 2F 7D
4466,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.514,0.000,0.000,12.064,7B 01 F6 2E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 AD 7D
4518,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.406,0.000,0.000,12.064,7B 01 F6 9A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 19 7D
4568,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.456,0.000,0.000,12.055,7B 01 F6 68 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 DC 7D
4624,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.359,0.000,0.000,12.064,7B 01 F6 C9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 4A 7D
4667,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.466,0.000,0.000,12.055,7B 01 F6 5E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 EA 7D
4719,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.392,0.000,0.000,12.064,7B 01 F6 A8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 2B 7D
4776,p18_i0_t12,-2.500,18.0,0.0,12,1,-2.517,0.000,0.000,12.064,7B 01 F6 2B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 A8 7D
