"SetName","Target","Kp","Ki","Trim","Enable","Samples","MeanVx","Mae","Std","Overshoot","Score"
"p18_i0_t12","-2.5","18","0","12","1","56","-2.43760714285714","0.0676785714285714","0.0522062115117364","0.04","0.0862888820041582"
"p18_i0_t12","-1.8","18","0","12","1","56","-1.749","0.0516071428571429","0.0331743231172199","0.0109999999999999","0.0576658590130039"
"p18_i0_t12","-1.2","18","0","12","1","56","-1.14414285714286","0.0558571428571428","0.0253457720984251","0","0.0571244314620641"
"p18_i0_t12","-0.8","18","0","12","1","56","-0.784392857142857","0.02175","0.0222057574350731","0.0259999999999999","0.0332602878717536"
"p18_i0_t12","-0.5","18","0","12","1","57","-0.491315789473684","0.0184736842105263","0.0225319717444462","0.039","0.0352002827977487"
"p18_i0_t12","-0.3","18","0","12","1","56","-0.270321428571428","0.0364642857142857","0.0339753624719743","0.038","0.0533630538378844"
"p18_i0_t12","0.3","18","0","12","1","56","0.277910714285714","0.0244464285714285","0.0234279113038534","0.01","0.0296178241366212"
"p18_i0_t12","0.5","18","0","12","1","56","0.471196428571429","0.0495535714285714","0.0786861804082832","0.099","0.0930878804489856"
"p18_i0_t12","0.8","18","0","12","1","56","0.776428571428571","0.0263928571428572","0.0211211278301214","0.0129999999999999","0.0326489135343632"
"p18_i0_t12","1.2","18","0","12","1","56","1.13358928571429","0.0664107142857142","0.0248680638468256","0","0.0676541174780555"
"p18_i0_t12","1.8","18","0","12","1","56","1.70548214285714","0.0945178571428572","0.0412293199553375","0","0.0965793231406241"
"p18_i0_t12","2.5","18","0","12","1","56","2.44189285714286","0.0686071428571428","0.0676603066194407","0.0489999999999999","0.0915901581881148"
"p20_i0_t12","-2.5","20","0","12","1","56","-2.46026785714286","0.0502321428571428","0.0530500070928461","0.0449999999999999","0.0708846432117851"
"p20_i0_t12","-1.8","20","0","12","1","56","-1.743625","0.0569821428571429","0.0366750024345116","0.012","0.0636158929788685"
"p20_i0_t12","-1.2","20","0","12","1","56","-1.153","0.0473214285714285","0.0258643439065113","0.00900000000000012","0.0522146457667542"
"p20_i0_t12","-0.8","20","0","12","1","57","-0.786","0.0182456140350877","0.0175679133350369","0.0179999999999999","0.0263240097018395"
"p20_i0_t12","-0.5","20","0","12","1","56","-0.495285714285714","0.0134285714285714","0.0183056531917195","0.041","0.0307438540881574"
"p20_i0_t12","-0.3","20","0","12","1","56","-0.273946428571429","0.0471607142857143","0.0600203595346902","0.079","0.0817617322624488"
"p20_i0_t12","0.3","20","0","12","1","56","0.289589285714286","0.0173392857142857","0.0190335950977985","0.024","0.0278909654691757"
"p20_i0_t12","0.5","20","0","12","1","56","0.499375","0.0205535714285714","0.0303724278746366","0.096","0.0604721928223033"
"p20_i0_t12","0.8","20","0","12","1","56","0.788428571428571","0.01575","0.0185807668829676","0.0179999999999999","0.0238790383441484"
"p20_i0_t12","1.2","20","0","12","1","55","1.15052727272727","0.0495454545454545","0.0258167349146419","0.002","0.0516362912911866"
"p20_i0_t12","1.8","20","0","12","1","56","1.71983928571429","0.0801607142857143","0.039857234862925","0","0.0821535760288605"
"p20_i0_t12","2.5","20","0","12","1","56","2.44992857142857","0.0613571428571429","0.0643658231025866","0.085","0.0985754340122722"
"p22_i0_t12","-2.5","22","0","12","1","56","-2.46057142857143","0.0525357142857143","0.0536971857279507","0.056","0.0776205735721118"
"p22_i0_t12","-1.8","22","0","12","1","57","-1.75284210526316","0.0501754385964913","0.0403053213472018","0.024","0.0617907046638514"
"p22_i0_t12","-1.2","22","0","12","1","56","-1.15357142857143","0.0470714285714286","0.0276068425413346","0.01","0.0524517706984953"
"p22_i0_t12","-0.8","22","0","12","1","56","-0.791","0.0191785714285714","0.0235970639820175","0.0389999999999999","0.0359584246276723"
"p22_i0_t12","-0.5","22","0","12","1","56","-0.496946428571428","0.0271607142857143","0.0372383345314136","0.072","0.0578226310122849"
"p22_i0_t12","-0.3","22","0","12","1","55","-0.274836363636364","0.0508","0.0579083173917227","0.092","0.0904954158695861"
"p22_i0_t12","0.3","22","0","12","1","56","0.268285714285714","0.0653214285714286","0.0916970388768117","0.075","0.0999062805152692"
"p22_i0_t12","0.5","22","0","12","1","56","0.494982142857143","0.0173035714285714","0.0226467366550338","0.0620000000000001","0.0432359082613232"
"p22_i0_t12","0.8","22","0","12","1","56","0.788178571428572","0.0208214285714286","0.0218166934306026","0.0339999999999999","0.0355122632429587"
"p22_i0_t12","1.2","22","0","12","1","56","1.14735714285714","0.0526428571428571","0.0288236191413945","0","0.0540840380999268"
"p22_i0_t12","1.8","22","0","12","1","56","1.71707142857143","0.0829285714285714","0.0441263838888033","0","0.0851348906230116"
"p22_i0_t12","2.5","22","0","12","1","56","2.46389285714286","0.0444642857142857","0.0486480357008484","0.0630000000000002","0.0720966874993282"
