time_ms,set,target_mps,kp,ki,trim_us,enable,vx_mps,vy_mps,vz_rad_s,battery_v,frame_hex
2170,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2227,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2280,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2330,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2381,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.055,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 42 7D
2417,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2478,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2527,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2575,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2629,openloop,0.500,10.0,3.0,12,0,0.000,0.000,0.000,12.064,7B 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 75 7D
2670,openloop,0.500,10.0,3.0,12,0,0.396,0.000,0.000,12.064,7B 01 01 8C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F8 7D
2731,openloop,0.500,10.0,3.0,12,0,0.396,0.000,0.000,12.064,7B 01 01 8C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F8 7D
2778,openloop,0.500,10.0,3.0,12,0,0.396,0.000,0.000,12.064,7B 01 01 8C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 F8 7D
2824,openloop,0.500,10.0,3.0,12,0,0.420,0.000,0.000,12.064,7B 01 01 A4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 D0 7D
2878,openloop,0.500,10.0,3.0,12,0,0.420,0.000,0.000,12.073,7B 01 01 A4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 29 D9 7D
2925,openloop,0.500,10.0,3.0,12,0,0.420,0.000,0.000,12.064,7B 01 01 A4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 D0 7D
2972,openloop,0.500,10.0,3.0,12,0,0.420,0.000,0.000,12.064,7B 01 01 A4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 D0 7D
3018,openloop,0.500,10.0,3.0,12,0,0.434,0.000,0.000,12.064,7B 01 01 B2 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 C6 7D
3079,openloop,0.500,10.0,3.0,12,0,0.434,0.000,0.000,12.064,7B 01 01 B2 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 C6 7D
3130,openloop,0.500,10.0,3.0,12,0,0.434,0.000,0.000,12.064,7B 01 01 B2 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 C6 7D
3168,openloop,0.500,10.0,3.0,12,0,0.459,0.000,0.000,12.064,7B 01 01 CB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 BF 7D
3230,openloop,0.500,10.0,3.0,12,0,0.459,0.000,0.000,12.055,7B 01 01 CB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 17 88 7D
3282,openloop,0.500,10.0,3.0,12,0,0.459,0.000,0.000,12.064,7B 01 01 CB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 BF 7D
3331,openloop,0.500,10.0,3.0,12,0,0.451,0.000,0.000,12.064,7B 01 01 C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 B7 7D
3378,openloop,0.500,10.0,3.0,12,0,0.451,0.000,0.000,12.064,7B 01 01 C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 B7 7D
3431,openloop,0.500,10.0,3.0,12,0,0.451,0.000,0.000,12.064,7B 01 01 C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 B7 7D
3472,openloop,0.500,10.0,3.0,12,0,0.446,0.000,0.000,12.064,7B 01 01 BE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 CA 7D
3530,openloop,0.500,10.0,3.0,12,0,0.446,0.000,0.000,12.064,7B 01 01 BE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 CA 7D
3576,openloop,0.500,10.0,3.0,12,0,0.446,0.000,0.000,12.064,7B 01 01 BE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 CA 7D
3617,openloop,0.500,10.0,3.0,12,0,0.446,0.000,0.000,12.064,7B 01 01 BE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 CA 7D
3672,openloop,0.500,10.0,3.0,12,0,0.462,0.000,0.000,12.064,7B 01 01 CE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 BA 7D
3731,openloop,0.500,10.0,3.0,12,0,0.462,0.000,0.000,12.064,7B 01 01 CE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2F 20 BA 7D
